m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,36,315,0,0,17776.0,4462.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,42,304,0,0,17782.0,4451.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,43,321,0,0,17783.0,4468.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,43,450,0,0,17783.0,4597.0,Vglut1,34,60.85117302052786,452.6301319648094,18722.85117302053,452.63013196480824,34_0,13
0,44,288,0,0,17784.0,4435.0,Vglut1,30,39.30954773869347,274.96884422110554,18701.309547738692,274.9688442211045,30_0,10
0,45,468,0,0,17785.0,4615.0,Vglut1,34,60.85117302052786,452.6301319648094,18722.85117302053,452.63013196480824,34_0,13
0,46,301,0,0,17786.0,4448.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,46,485,0,0,17786.0,4632.0,Vglut1,38,65.68395061728395,485.4592592592593,18727.683950617284,485.45925925925985,38_0,16
0,48,480,0,0,17788.0,4627.0,Vglut1,38,65.68395061728395,485.4592592592593,18727.683950617284,485.45925925925985,38_0,16
0,51,100,0,0,17791.0,4247.0,Vglut1,41,71.15833683326333,80.43091138177236,18733.158336833265,80.4309113817726,41_0,19
0,51,294,0,0,17791.0,4441.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,51,461,0,0,17791.0,4608.0,Vglut1,34,60.85117302052786,452.6301319648094,18722.85117302053,452.63013196480824,34_0,13
0,53,471,0,0,17793.0,4618.0,Vglut1,34,60.85117302052786,452.6301319648094,18722.85117302053,452.63013196480824,34_0,13
0,53,494,0,0,17793.0,4641.0,Vglut1,38,65.68395061728395,485.4592592592593,18727.683950617284,485.45925925925985,38_0,16
0,56,295,0,0,17796.0,4442.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,59,291,0,0,17799.0,4438.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,59,494,0,0,17799.0,4641.0,Vglut1,38,65.68395061728395,485.4592592592593,18727.683950617284,485.45925925925985,38_0,16
0,60,468,0,0,17800.0,4615.0,Vglut1,34,60.85117302052786,452.6301319648094,18722.85117302053,452.63013196480824,34_0,13
0,61,308,0,0,17801.0,4455.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,67,179,0,0,17807.0,4326.0,Vglut1,39,60.37770897832817,192.60371517027863,18722.37770897833,192.60371517028034,39_0,17
0,67,300,0,0,17807.0,4447.0,Vglut1,35,55.140811455847256,308.6405727923628,18717.140811455847,308.64057279236295,35_0,14
0,68,492,0,0,17808.0,4639.0,Vglut1,38,65.68395061728395,485.4592592592593,18727.683950617284,485.45925925925985,38_0,16
